20221201	16:59:09	56b854a6-d3be-435a-b83c-0ad4f71adcb0	/new-page.html	GET
20221201	16:59:39	b5a2e20c-c5e1-466b-beec-931cfa86e144	/new-page.html	GET
20221201	16:59:39	44e5107c-51d9-460d-8a7d-007e5c342cc4	/css/style.css	GET
20221201	16:59:39	aef64c87-7191-426f-93dd-7252918a0143	/img/img1.jpg	GET
20221201	16:59:40	f6f76500-de20-4630-94a3-2a0221f88cf9	/favicon.ico	GET
20221201	16:59:59	1e27c96e-5cfc-478a-921f-a22bf3a5102c	/new-page.html	GET
20221201	16:59:59	7578d3ca-47a5-4913-bbe3-785295848438	/img/img1.jpg	GET
20221201	16:59:59	062aa953-e807-4117-8af9-98d4e0ef83a8	/css/style.css	GET
20221201	22:45:36	ac6be249-b876-402b-bdb6-dc8171dffb70	GET	undefined	/
20221201	22:45:36	e95a3267-fa27-4065-a390-3b1b5a817b25	GET	undefined	/css/style.css
20221201	22:45:53	94ad4c47-02ab-4ea3-83d0-09a4249ec51f	OPTIONS	https://www.google.com	/
20221201	22:45:53	894f783d-40d8-436e-aca5-3751360bd2b8	GET	https://www.google.com	/
20221201	23:00:00	b60491a5-5e50-4f68-b3ca-56fc46239515	OPTIONS	https://www.google.com	/
20221201	23:00:00	f02e5126-babe-4ca7-a8dd-32f651b29a4f	GET	https://www.google.com	/
20221201	23:00:22	80097db0-c492-40a3-8308-bced236486eb	OPTIONS	https://www.google.com	/
20221201	23:00:22	63029183-daad-4439-95eb-eb2c71d30a04	GET	https://www.google.com	/
20221201	23:01:13	10a53edd-35b5-4350-b498-dac81b15f5fe	OPTIONS	https://www.google.com	/
20221201	23:01:13	f24e7ca3-f99a-4f60-9368-e5c0c5fc6a4e	GET	https://www.google.com	/
20221201	23:12:58	5e0ba079-8a8c-4975-9466-aa57be4a85ac	GET	undefined	/
20221201	23:13:05	f6c82a92-ecf7-484a-8e43-ea37898761b7	GET	undefined	/
20221201	23:13:06	666384c3-e8a1-4882-961f-3865c5cf7e90	GET	undefined	/
20221201	23:14:09	839ac7f4-f868-412d-a1cd-97c53cecb359	GET	undefined	/
20221201	23:14:15	1667e04b-e3a1-4cae-8eb8-c23c6b874d8c	GET	undefined	/
20221201	23:15:29	0fd6130f-d9b4-43f5-9d05-af5eeb6efdcb	GET	undefined	/
20221201	23:15:29	26764139-14c1-4ad8-ab5b-56a2e6df770c	GET	undefined	/css/style.css
20221201	23:19:43	b006cb98-0c78-4095-9efc-5eab5f9b5f58	GET	undefined	/
20221201	23:20:49	934ddcb7-7a60-4452-b1c6-5e94799b1c17	GET	undefined	/
20221201	23:20:51	5785d064-11b6-42fb-bf90-0ad79b0edc85	GET	undefined	/
